Country / territory,Measure Names,Report Epi Week,Year of Date,Measure Values,Laboratory confirmed cases,Suspected cases
Aruba,Suspected,1,2016,0,0,0
Aruba,Confirmed,1,2016,0,0,0
Aruba,Suspected,2,2016,0,0,0
Aruba,Confirmed,2,2016,0,0,0
Aruba,Suspected,3,2016,0,0,0
Aruba,Confirmed,3,2016,0,0,0
Aruba,Suspected,4,2016,0,0,0
Aruba,Confirmed,4,2016,0,0,0
Barbados,Suspected,1,2016,0,3,0
Barbados,Confirmed,1,2016,3,3,0
Barbados,Suspected,,2016,0,0,0
Barbados,Confirmed,2,2016,0,0,0
Barbados,Suspected,3,2016,0,0,0
Barbados,Confirmed,3,2016,0,0,0
Barbados,Suspected,4,2016,0,0,0
Barbados,Confirmed,4,2016,0,0,0
Bolivia,Suspected,1,2016,0,0,0
Bolivia,Confirmed,1,2016,0,0,0
Bolivia,Suspected,2,2016,0,1,0
Bolivia,Confirmed,2,2016,1,1,0
Bolivia,Suspected,3,2016,0,0,0
Bolivia,Confirmed,3,2016,0,0,0
Bolivia,Suspected,4,2016,0,0,0
Bolivia,Confirmed,4,2016,0,0,0
Bonaire,Suspected,1,2016,0,0,0
Bonaire,Confirmed,1,2016,0,0,0
Bonaire,Suspected,2,2016,0,0,0
Bonaire,Confirmed,2,2016,0,0,0
Bonaire,Suspected,3,2016,0,0,0
Bonaire,Confirmed,3,2016,0,0,0
Bonaire,Suspected,4,2016,0,0,0
Bonaire,Confirmed,4,2016,0,0,0
Brazil,Suspected,1,2016,0,0,0
Brazil,Confirmed,1,2016,0,0,0
Brazil,Suspected,2,2016,0,0,0
Brazil,Confirmed,2,2016,0,0,0
Brazil,Suspected,3,2016,0,0,0
Brazil,Confirmed,3,2016,0,0,0
Brazil,Suspected,4,2016,0,0,0
Brazil,Confirmed,4,2016,0,0,0
Colombia,Suspected,1,2016,"1,789",30,"1,789"
Colombia,Confirmed,1,2016,30,30,"1,789"
Colombia,Suspected,2,2016,"2,866",22,"2,866"
Colombia,Confirmed,2,2016,22,22,"2,866"
Colombia,Suspected,3,2016,"3,626",252,"3,626"
Colombia,Confirmed,3,2016,252,252,"3,626"
Colombia,Suspected,4,2016,"5,067",281,"5,067"
Colombia,Confirmed,4,2016,281,281,"5,067"
Costa Rica,Suspected,1,2016,0,0,0
Costa Rica,Confirmed,1,2016,0,0,0
Costa Rica,Suspected,2,2016,0,0,0
Costa Rica,Confirmed,,2016,0,0,0
Costa Rica,Suspected,3,2016,0,0,0
Costa Rica,Confirmed,3,2016,0,0,0
Costa Rica,Suspected,4,2016,0,1,0
Costa Rica,Confirmed,4,2016,1,1,0
Curacao,Suspected,1,2016,0,0,0
Curacao,Confirmed,1,2016,0,0,0
Curacao,Suspected,2,2016,0,0,0
Curacao,Confirmed,2,2016,0,0,0
Curacao,Suspected,3,2016,0,0,0
Curacao,Confirmed,3,2016,0,0,0
Curacao,Suspected,4,2016,0,1,0
Curacao,Confirmed,4,2016,1,1,0
Dominican Republic,Suspected,1,2016,0,0,0
Dominican Republic,Confirmed,1,2016,0,0,0
Dominican Republic,Suspected,2,2016,0,0,0
Dominican Republic,Confirmed,2,2016,0,0,0
Dominican Republic,Suspected,3,2016,27,10,27
Dominican Republic,Confirmed,3,2016,10,10,27
Dominican Republic,Suspected,4,2016,77,0,77
Dominican Republic,Confirmed,4,2016,0,0,77
Ecuador,Suspected,1,2016,0,2,0
Ecuador,Confirmed,1,2016,2,2,0
Ecuador,Suspected,2,2016,0,5,0
Ecuador,Confirmed,2,2016,5,5,0
Ecuador,Suspected,3,2016,0,6,0
Ecuador,Confirmed,3,2016,6,6,0
Ecuador,Suspected,4,2016,0,12,0
Ecuador,Confirmed,4,2016,12,12,0
El Salvador,Suspected,1,2016,492,0,492
El Salvador,Confirmed,1,2016,0,0,492
El Salvador,Suspected,2,2016,"1,069",0,"1,069"
El Salvador,Confirmed,2,2016,0,0,"1,069"
El Salvador,Suspected,3,2016,913,0,913
El Salvador,Confirmed,3,2016,0,0,913
El Salvador,Suspected,4,2016,828,0,828
El Salvador,Confirmed,4,2016,0,0,828
French Guiana,Suspected,1,2016,0,7,0
French Guiana,Confirmed,1,2016,7,7,0
French Guiana,Suspected,2,2016,130,39,130
French Guiana,Confirmed,2,2016,39,39,130
French Guiana,Suspected,3,2016,115,29,115
French Guiana,Confirmed,3,2016,29,29,115
French Guiana,Suspected,4,2016,185,13,185
French Guiana,Confirmed,4,2016,13,13,185
Guadeloupe,Suspected,1,2016,0,0,0
Guadeloupe,Confirmed,1,2016,0,0,0
Guadeloupe,Suspected,2,2016,0,1,0
Guadeloupe,Confirmed,2,2016,1,1,0
Guadeloupe,Suspected,3,2016,0,9,0
Guadeloupe,Confirmed,3,2016,9,9,0
Guadeloupe,Suspected,4,2016,0,7,0
Guadeloupe,Confirmed,4,2016,7,7,0
Guatemala,Suspected,1,2016,0,0,0
Guatemala,Confirmed,1,2016,0,0,0
Guatemala,Suspected,2,2016,78,37,78
Guatemala,Confirmed,2,2016,37,37,78
Guatemala,Suspected,3,2016,0,0,0
Guatemala,Confirmed,3,2016,0,0,0
Guatemala,Suspected,4,2016,0,0,0
Guatemala,Confirmed,4,2016,0,0,0
Guyana,Suspected,1,2016,0,0,0
Guyana,Confirmed,1,2016,0,0,0
Guyana,Suspected,2,2016,0,1,0
Guyana,Confirmed,2,2016,1,1,0
Guyana,Suspected,3,2016,0,0,0
Guyana,Confirmed,3,2016,0,0,0
Guyana,Suspected,4,2016,0,0,0
Guyana,Confirmed,4,2016,0,0,0
Haiti,Suspected,1,2016,13,5,13
Haiti,Confirmed,1,2016,5,5,13
Haiti,Suspected,2,2016,4,0,4
Haiti,Confirmed,2,2016,0,0,4
Haiti,Suspected,3,2016,96,0,96
Haiti,Confirmed,3,2016,0,0,96
Haiti,Suspected,4,2016,204,0,204
Haiti,Confirmed,4,2016,0,0,204
Honduras,Suspected,1,2016,608,0,608
Honduras,Confirmed,1,2016,0,0,608
Honduras,Suspected,2,2016,"1,119",0,"1,119"
Honduras,Confirmed,2,2016,0,0,"1,119"
Honduras,Suspected,3,2016,"1,310",0,"1,310"
Honduras,Confirmed,3,2016,0,0,"1,310"
Honduras,Suspected,4,2016,"1,436",0,"1,436"
Honduras,Confirmed,4,2016,0,0,"1,436"
Jamaica,Suspected,1,2016,0,0,0
Jamaica,Confirmed,1,2016,0,0,0
Jamaica,Suspected,2,2016,0,0,0
Jamaica,Confirmed,2,2016,0,0,0
Jamaica,Suspected,3,2016,0,0,0
Jamaica,Confirmed,3,2016,0,0,0
Jamaica,Suspected,4,2016,0,1,0
Jamaica,Confirmed,4,2016,1,1,0
Martinique,Suspected,1,2016,0,12,0
Martinique,Confirmed,1,2016,12,12,0
Martinique,Suspected,2,2016,"1,231",0,"1,231"
Martinique,Confirmed,2,2016,0,0,"1,231"
Martinique,Suspected,3,2016,"1,064",0,"1,064"
Martinique,Confirmed,3,2016,0,0,"1,064"
Martinique,Suspected,4,2016,"1,645",0,"1,645"
Martinique,Confirmed,4,2016,0,0,"1,645"
Mexico,Suspected,1,2016,0,0,0
Mexico,Confirmed,1,2016,0,0,0
Mexico,Suspected,2,2016,0,3,0
Mexico,Confirmed,2,2016,3,3,0
Mexico,Suspected,3,2016,0,16,0
Mexico,Confirmed,3,2016,16,16,0
Mexico,Suspected,4,2016,0,31,0
Mexico,Confirmed,4,2016,31,31,0
Nicaragua,Suspected,1,2016,0,0,0
Nicaragua,Confirmed,1,2016,0,0,0
Nicaragua,Suspected,2,2016,0,0,0
Nicaragua,Confirmed,2,2016,0,0,0
Nicaragua,Suspected,3,2016,0,0,0
Nicaragua,Confirmed,3,2016,0,0,0
Nicaragua,Suspected,4,2016,0,2,0
Nicaragua,Confirmed,4,2016,2,2,0
Panama,Suspected,1,2016,0,4,0
Panama,Confirmed,1,2016,4,4,0
Panama,Suspected,2,2016,0,3,0
Panama,Confirmed,2,2016,3,3,0
Panama,Suspected,3,2016,0,4,0
Panama,Confirmed,3,2016,4,4,0
Panama,Suspected,4,2016,0,4,0
Panama,Confirmed,4,2016,4,4,0
Paraguay,Suspected,1,2016,0,0,0
Paraguay,Confirmed,1,2016,0,0,0
Paraguay,Suspected,2,2016,0,0,0
Paraguay,Confirmed,2,2016,0,0,0
Paraguay,Suspected,3,2016,0,0,0
Paraguay,Confirmed,3,2016,0,0,0
Paraguay,Suspected,4,2016,0,0,0
Paraguay,Confirmed,4,2016,0,0,0
Puerto Rico,Suspected,1,2016,0,4,0
Puerto Rico,Confirmed,1,2016,4,4,0
Puerto Rico,Suspected,2,2016,0,4,0
Puerto Rico,Confirmed,2,2016,4,4,0
Puerto Rico,Suspected,3,2016,0,4,0
Puerto Rico,Confirmed,3,2016,4,4,0
Puerto Rico,Suspected,4,2016,0,9,0
Puerto Rico,Confirmed,4,2016,9,9,0
Saint Martin,Suspected,1,2016,0,0,0
Saint Martin,Confirmed,1,2016,0,0,0
Saint Martin,Suspected,2,2016,0,1,0
Saint Martin,Confirmed,2,2016,1,1,0
Saint Martin,Suspected,3,2016,0,0,0
Saint Martin,Confirmed,3,2016,0,0,0
Saint Martin,Suspected,4,2016,0,0,0
Saint Martin,Confirmed,4,2016,0,0,0
Saint Vincent and the Grenadines,Suspected,1,2016,0,0,0
Saint Vincent and the Grenadines,Confirmed,1,2016,0,0,0
Saint Vincent and the Grenadines,Suspected,2,2016,0,0,0
Saint Vincent and the Grenadines,Confirmed,2,2016,0,0,0
Saint Vincent and the Grenadines,Suspected,3,2016,0,0,0
Saint Vincent and the Grenadines,Confirmed,3,2016,0,0,0
Saint Vincent and the Grenadines,Suspected,4,2016,0,0,0
Saint Vincent and the Grenadines,Confirmed,4,2016,0,0,0
Sint Maarten,Suspected,1,2016,0,0,0
Sint Maarten,Confirmed,1,2016,0,0,0
Sint Maarten,Suspected,2,2016,0,0,0
Sint Maarten,Confirmed,2,2016,0,0,0
Sint Maarten,Suspected,3,2016,0,0,0
Sint Maarten,Confirmed,3,2016,0,0,0
Sint Maarten,Suspected,4,2016,0,0,0
Sint Maarten,Confirmed,4,2016,0,0,0
Suriname,Suspected,1,2016,71,0,71
Suriname,Confirmed,1,2016,0,0,71
Suriname,Suspected,2,2016,278,0,278
Suriname,Confirmed,2,2016,0,0,278
Suriname,Suspected,3,2016,422,0,422
Suriname,Confirmed,3,2016,0,0,422
Suriname,Suspected,4,2016,487,0,487
Suriname,Confirmed,4,2016,0,0,487
Trinidad and Tobago,Suspected,1,2016,0,0,0
Trinidad and Tobago,Confirmed,1,2016,0,0,0
Trinidad and Tobago,Suspected,2,2016,0,0,0
Trinidad and Tobago,Confirmed,2,2016,0,0,0
Trinidad and Tobago,Suspected,3,2016,0,0,0
Trinidad and Tobago,Confirmed,3,2016,0,0,0
Trinidad and Tobago,Suspected,4,2016,0,0,0
Trinidad and Tobago,Confirmed,4,2016,0,0,0
United States Virgin Islands,Suspected,1,2016,0,0,0
United States Virgin Islands,Confirmed,1,2016,0,0,0
United States Virgin Islands,Suspected,2,2016,0,0,0
United States Virgin Islands,Confirmed,2,2016,0,0,0
United States Virgin Islands,Suspected,3,2016,0,1,0
United States Virgin Islands,Confirmed,3,2016,1,1,0
United States Virgin Islands,Suspected,4,2016,0,0,0
United States Virgin Islands,Confirmed,4,2016,0,0,0
Venezuela,Suspected,1,2016,0,0,0
Venezuela,Confirmed,1,2016,0,0,0
Venezuela,Suspected,2,2016,0,0,0
Venezuela,Confirmed,2,2016,0,0,0
Venezuela,Suspected,3,2016,0,0,0
Venezuela,Confirmed,3,2016,0,0,0
Venezuela,Suspected,4,2016,"4,693",0,"4,693"
Venezuela,Confirmed,4,2016,0,0,"4,693"
Aruba,Suspected,5,2016,0,0,0
Aruba,Confirmed,5,2016,0,0,0
Aruba,Suspected,6,2016,0,0,0
Aruba,Confirmed,6,2016,0,0,0
Aruba,Suspected,7,2016,0,4,0
Aruba,Confirmed,7,2016,4,4,0
Barbados,Suspected,5,2016,0,0,0
Barbados,Confirmed,5,2016,0,0,0
Barbados,Suspected,6,2016,0,4,0
Barbados,Confirmed,6,2016,4,4,0
Barbados,Suspected,7,2016,0,0,0
Barbados,Confirmed,7,2016,0,0,0
Barbados,Suspected,8,2016,0,0,0
Barbados,Confirmed,8,2016,0,0,0
Bolivia,Suspected,5,2016,0,0,0
Bolivia,Confirmed,5,2016,0,0,0
Bonaire,Suspected,5,2016,0,0,0
Bonaire,Confirmed,5,2016,0,0,0
Bonaire,Suspected,6,2016,0,0,0
Bonaire,Confirmed,6,2016,0,0,0
Bonaire,Suspected,7,2016,0,1,0
Bonaire,Confirmed,7,2016,1,1,0
Brazil,Suspected,5,2016,0,0,0
Brazil,Confirmed,5,2016,0,0,0
Brazil,Suspected,6,2016,"1,451",526,"1,451"
Brazil,Confirmed,6,2016,526,526,"1,451"
Colombia,Suspected,5,2016,"5,737",173,"5,737"
Colombia,Confirmed,5,2016,173,173,"5,737"
Colombia,Suspected,6,2016,"5,348",108,"5,348"
Colombia,Confirmed,6,2016,108,108,"5,348"
Colombia,Suspected,7,2016,"5,695",0,"5,695"
Colombia,Confirmed,7,2016,0,0,"5,695"
Costa Rica,Suspected,5,2016,0,0,0
Costa Rica,Confirmed,5,2016,0,0,0
Costa Rica,Suspected,6,2016,0,0,0
Costa Rica,Confirmed,6,2016,0,0,0
Costa Rica,Suspected,7,2016,0,0,0
Costa Rica,Confirmed,7,2016,0,0,0
Costa Rica,Suspected,8,2016,0,2,0
Costa Rica,Confirmed,8,2016,2,2,0
Curacao,Suspected,5,2016,0,0,0
Curacao,Confirmed,5,2016,0,0,0
Dominican Republic,Suspected,5,2016,119,8,119
Dominican Republic,Confirmed,5,2016,8,8,119
Dominican Republic,Suspected,6,2016,82,0,82
Dominican Republic,Confirmed,6,2016,0,0,82
Dominican Republic,Suspected,7,2016,90,0,90
Dominican Republic,Confirmed,7,2016,0,0,90
Ecuador,Suspected,5,2016,0,0,0
Ecuador,Confirmed,5,2016,0,0,0
Ecuador,Suspected,6,2016,0,14,0
Ecuador,Confirmed,6,2016,14,14,0
Ecuador,Suspected,7,2016,115,1,115
Ecuador,Confirmed,7,2016,1,1,115
El Salvador,Suspected,5,2016,785,0,785
El Salvador,Confirmed,5,2016,0,0,785
El Salvador,Suspected,6,2016,661,0,661
El Salvador,Confirmed,6,2016,0,0,661
El Salvador,Suspected,7,2016,375,0,375
El Salvador,Confirmed,7,2016,0,0,375
French Guiana,Suspected,5,2016,0,0,0
French Guiana,Confirmed,5,2016,0,0,0
French Guiana,Suspected,6,2016,360,11,360
French Guiana,Confirmed,6,2016,11,11,360
French Guiana,Suspected,7,2016,240,3,240
French Guiana,Confirmed,7,2016,3,3,240
Guadeloupe,Suspected,5,2016,0,0,0
Guadeloupe,Confirmed,5,2016,0,0,0
Guadeloupe,Suspected,6,2016,221,8,221
Guadeloupe,Confirmed,6,2016,8,8,221
Guadeloupe,Suspected,7,2016,168,10,168
Guadeloupe,Confirmed,7,2016,10,10,168
Guatemala,Suspected,5,2016,0,0,0
Guatemala,Confirmed,5,2016,0,0,0
Guyana,Suspected,5,2016,0,0,0
Guyana,Confirmed,5,2016,0,0,0
Haiti,Suspected,5,2016,0,0,0
Haiti,Confirmed,5,2016,0,0,0
Honduras,Suspected,5,2016,0,0,0
Honduras,Confirmed,5,2016,0,0,0
Jamaica,Suspected,5,2016,0,0,0
Jamaica,Confirmed,5,2016,0,0,0
Martinique,Suspected,5,2016,0,0,0
Martinique,Confirmed,5,2016,0,0,0
Martinique,Suspected,6,2016,"2,110",0,"2,110"
Martinique,Confirmed,6,2016,0,0,"2,110"
Martinique,Suspected,7,2016,"1,550",0,"1,550"
Martinique,Confirmed,7,2016,0,0,"1,550"
Mexico,Suspected,5,2016,0,15,0
Mexico,Confirmed,5,2016,15,15,0
Mexico,Suspected,6,2016,0,13,0
Mexico,Confirmed,6,2016,13,13,0
Mexico,Suspected,7,2016,0,28,0
Mexico,Confirmed,7,2016,28,28,0
Nicaragua,Suspected,5,2016,0,19,0
Nicaragua,Confirmed,5,2016,19,19,0
Nicaragua,Suspected,6,2016,0,26,0
Nicaragua,Confirmed,6,2016,26,26,0
Nicaragua,Suspected,7,2016,0,19,0
Nicaragua,Confirmed,7,2016,19,19,0
Nicaragua,Suspected,8,2016,0,22,0
Nicaragua,Confirmed,8,2016,22,22,0
Panama,Suspected,5,2016,0,10,0
Panama,Confirmed,5,2016,10,10,0
Panama,Suspected,6,2016,0,8,0
Panama,Confirmed,6,2016,8,8,0
Panama,Suspected,7,2016,0,15,0
Panama,Confirmed,7,2016,15,15,0
Paraguay,Suspected,5,2016,0,0,0
Paraguay,Confirmed,5,2016,0,0,0
Puerto Rico,Suspected,5,2016,0,0,0
Puerto Rico,Confirmed,5,2016,0,0,0
Saint Martin,Suspected,5,2016,0,0,0
Saint Martin,Confirmed,5,2016,0,0,0
Saint Martin,Suspected,6,2016,44,6,44
Saint Martin,Confirmed,6,2016,6,6,44
Saint Martin,Suspected,7,2016,14,4,14
Saint Martin,Confirmed,7,2016,4,4,14
Saint Vincent and the Grenadines,Suspected,5,2016,0,0,0
Saint Vincent and the Grenadines,Confirmed,5,2016,0,0,0
Saint Vincent and the Grenadines,Suspected,6,2016,0,0,0
Saint Vincent and the Grenadines,Confirmed,6,2016,0,0,0
Saint Vincent and the Grenadines,Suspected,7,2016,0,0,0
Saint Vincent and the Grenadines,Confirmed,7,2016,0,0,0
Saint Vincent and the Grenadines,Suspected,8,2016,0,1,0
Saint Vincent and the Grenadines,Confirmed,8,2016,1,1,0
Sint Maarten,Suspected,5,2016,0,0,0
Sint Maarten,Confirmed,5,2016,0,0,0
Sint Maarten,Suspected,6,2016,0,0,0
Sint Maarten,Confirmed,6,2016,0,0,0
Sint Maarten,Suspected,7,2016,0,1,0
Sint Maarten,Confirmed,7,2016,1,1,0
Sint Maarten,Suspected,8,2016,0,1,0
Sint Maarten,Confirmed,8,2016,1,1,0
Suriname,Suspected,5,2016,452,0,452
Suriname,Confirmed,5,2016,0,0,452
Suriname,Suspected,6,2016,312,0,312
Suriname,Confirmed,6,2016,0,0,312
Trinidad and Tobago,Suspected,5,2016,0,0,0
Trinidad and Tobago,Confirmed,5,2016,0,0,0
Trinidad and Tobago,Suspected,6,2016,0,0,0
Trinidad and Tobago,Confirmed,6,2016,0,0,0
Trinidad and Tobago,Suspected,7,2016,0,1,0
Trinidad and Tobago,Confirmed,7,2016,1,1,0
United States Virgin Islands,Suspected,5,2016,0,0,0
United States Virgin Islands,Confirmed,5,2016,0,0,0
United States Virgin Islands,Suspected,6,2016,0,0,0
United States Virgin Islands,Confirmed,6,2016,0,0,0
United States Virgin Islands,Suspected,7,2016,59,1,59
United States Virgin Islands,Confirmed,7,2016,1,1,59
United States Virgin Islands,Suspected,8,2016,0,2,0
