Country / territory,Measure Names,Report Epi Week,Year of Date,Measure Values,Laboratory confirmed cases,Suspected cases
Mexico,Suspected,47,2015,0,2,0
Mexico,Confirmed,47,2015,2,2,0
Nicaragua,Suspected,44,2015,0,0,0
Nicaragua,Confirmed,44,2015,0,0,0
Nicaragua,Suspected,45,2015,0,0,0
Nicaragua,Confirmed,45,2015,0,0,0
Nicaragua,Suspected,46,2015,0,0,0
Nicaragua,Confirmed,46,2015,0,0,0
Nicaragua,Suspected,47,2015,0,0,0
Nicaragua,Confirmed,47,2015,0,0,0
Panama,Suspected,44,2015,0,0,0
Panama,Confirmed,44,2015,0,0,0
Panama,Suspected,45,2015,0,0,0
Panama,Confirmed,45,2015,0,0,0
Panama,Suspected,46,2015,0,0,0
Panama,Confirmed,46,2015,0,0,0
Panama,Suspected,47,2015,0,4,0
Panama,Confirmed,47,2015,4,4,0
Paraguay,Suspected,44,2015,0,0,0
Paraguay,Confirmed,44,2015,0,0,0
Paraguay,Suspected,45,2015,0,0,0
Paraguay,Confirmed,45,2015,0,0,0
Paraguay,Suspected,46,2015,0,0,0
Paraguay,Confirmed,46,2015,0,0,0
Paraguay,Suspected,47,2015,0,6,0
Paraguay,Confirmed,47,2015,6,6,0
Puerto Rico,Suspected,44,2015,0,0,0
Puerto Rico,Confirmed,44,2015,0,0,0
Puerto Rico,Suspected,45,2015,0,0,0
Puerto Rico,Confirmed,45,2015,0,0,0
Puerto Rico,Suspected,46,2015,0,0,0
Puerto Rico,Confirmed,46,2015,0,0,0
Puerto Rico,Suspected,47,2015,0,0,0
Puerto Rico,Confirmed,47,2015,0,0,0
Saint Martin,Suspected,44,2015,0,0,0
Saint Martin,Confirmed,44,2015,0,0,0
Saint Martin,Suspected,45,2015,0,0,0
Saint Martin,Confirmed,45,2015,0,0,0
Saint Martin,Suspected,46,2015,0,0,0
Saint Martin,Confirmed,46,2015,0,0,0
Saint Martin,Suspected,47,2015,0,0,0
Saint Martin,Confirmed,47,2015,0,0,0
Saint Vincent and the Grenadines,Suspected,44,2015,0,0,0
Saint Vincent and the Grenadines,Confirmed,44,2015,0,0,0
Saint Vincent and the Grenadines,Suspected,45,2015,0,0,0
Saint Vincent and the Grenadines,Confirmed,45,2015,0,0,0
Saint Vincent and the Grenadines,Suspected,46,2015,0,0,0
Saint Vincent and the Grenadines,Confirmed,46,2015,0,0,0
Saint Vincent and the Grenadines,Suspected,47,2015,0,0,0
Saint Vincent and the Grenadines,Confirmed,47,2015,0,0,0
Sint Maarten,Suspected,44,2015,0,0,0
Sint Maarten,Confirmed,44,2015,0,0,0
Sint Maarten,Suspected,45,2015,0,0,0
Sint Maarten,Confirmed,45,2015,0,0,0
Sint Maarten,Suspected,46,2015,0,0,0
Sint Maarten,Confirmed,46,2015,0,0,0
Sint Maarten,Suspected,47,2015,0,0,0
Sint Maarten,Confirmed,47,2015,0,0,0
Suriname,Suspected,44,2015,6,2,6
Suriname,Confirmed,44,2015,2,2,6
Suriname,Suspected,45,2015,3,0,3
Suriname,Confirmed,45,2015,0,0,3
Suriname,Suspected,46,2015,46,0,46
Suriname,Confirmed,46,2015,0,0,46
Suriname,Suspected,47,2015,29,0,29
Suriname,Confirmed,47,2015,0,0,29
Trinidad and Tobago,Suspected,44,2015,0,0,0
Trinidad and Tobago,Confirmed,44,2015,0,0,0
Trinidad and Tobago,Suspected,45,2015,0,0,0
Trinidad and Tobago,Confirmed,45,2015,0,0,0
Trinidad and Tobago,Suspected,46,2015,0,0,0
Trinidad and Tobago,Confirmed,46,2015,0,0,0
Trinidad and Tobago,Suspected,47,2015,0,0,0
Trinidad and Tobago,Confirmed,47,2015,0,0,0
United States Virgin Islands,Suspected,44,2015,0,0,0
United States Virgin Islands,Confirmed,44,2015,0,0,0
United States Virgin Islands,Suspected,45,2015,0,0,0
United States Virgin Islands,Confirmed,45,2015,0,0,0
United States Virgin Islands,Suspected,46,2015,0,0,0
United States Virgin Islands,Confirmed,46,2015,0,0,0
United States Virgin Islands,Suspected,47,2015,0,0,0
United States Virgin Islands,Confirmed,47,2015,0,0,0
Venezuela,Suspected,44,2015,0,0,0
Venezuela,Confirmed,44,2015,0,0,0
Venezuela,Suspected,45,2015,0,0,0
Venezuela,Confirmed,45,2015,0,0,0
Venezuela,Suspected,46,2015,0,0,0
Venezuela,Confirmed,46,2015,0,0,0
Venezuela,Suspected,47,2015,3,4,3
Venezuela,Confirmed,47,2015,4,4,3
Aruba,Suspected,48,2015,0,0,0
Aruba,Confirmed,48,2015,0,0,0
Aruba,Suspected,49,2015,0,0,0
Aruba,Confirmed,49,2015,0,0,0
Aruba,Suspected,50,2015,0,0,0
Aruba,Confirmed,50,2015,0,0,0
Aruba,Suspected,51,2015,0,0,0
Aruba,Confirmed,51,2015,0,0,0
Aruba,Suspected,52,2015,0,0,0
Aruba,Confirmed,52,2015,0,0,0
Barbados,Suspected,48,2015,0,0,0
Barbados,Confirmed,48,2015,0,0,0
Barbados,Suspected,49,2015,0,0,0
Barbados,Confirmed,49,2015,0,0,0
Barbados,Suspected,50,2015,0,0,0
Barbados,Confirmed,50,2015,0,0,0
Barbados,Suspected,51,2015,0,0,0
Barbados,Confirmed,51,2015,0,0,0
Barbados,Suspected,52,2015,0,0,0
Barbados,Confirmed,52,2015,0,0,0
Bolivia,Suspected,48,2015,0,0,0
Bolivia,Confirmed,48,2015,0,0,0
Bolivia,Suspected,49,2015,0,0,0
Bolivia,Confirmed,49,2015,0,0,0
Bolivia,Suspected,50,2015,0,0,0
Bolivia,Confirmed,50,2015,0,0,0
Bolivia,Suspected,51,2015,0,0,0
Bolivia,Confirmed,51,2015,0,0,0
Bolivia,Suspected,52,2015,0,0,0
Bolivia,Confirmed,52,2015,0,0,0
Bonaire,Suspected,48,2015,0,0,0
Bonaire,Confirmed,48,2015,0,0,0
Bonaire,Suspected,49,2015,0,0,0
Bonaire,Confirmed,49,2015,0,0,0
Bonaire,Suspected,50,2015,0,0,0
Bonaire,Confirmed,50,2015,0,0,0
Bonaire,Suspected,51,2015,0,0,0
Bonaire,Confirmed,51,2015,0,0,0
Bonaire,Suspected,52,2015,0,0,0
Bonaire,Confirmed,52,2015,0,0,0
Brazil,Suspected,48,2015,0,0,0
Brazil,Confirmed,48,2015,0,0,0
Brazil,Suspected,49,2015,0,0,0
Brazil,Confirmed,49,2015,0,0,0
Brazil,Suspected,50,2015,0,0,0
Brazil,Confirmed,50,2015,0,0,0
Brazil,Suspected,51,2015,0,0,0
Brazil,Confirmed,51,2015,0,0,0
Brazil,Suspected,52,2015,0,0,0
Brazil,Confirmed,52,2015,0,0,0
Colombia,Suspected,48,2015,"1,363",37,"1,363"
Colombia,Confirmed,48,2015,37,37,"1,363"
Colombia,Suspected,49,2015,"1,777",61,"1,777"
Colombia,Confirmed,49,2015,61,61,"1,777"
Colombia,Suspected,50,2015,"1,452",24,"1,452"
Colombia,Confirmed,50,2015,24,24,"1,452"
Colombia,Suspected,51,2015,988,36,988
Colombia,Confirmed,51,2015,36,36,988
Colombia,Suspected,52,2015,"1,686",10,"1,686"
Colombia,Confirmed,52,2015,10,10,"1,686"
Costa Rica,Suspected,48,2015,0,0,0
Costa Rica,Confirmed,48,2015,0,0,0
Costa Rica,Suspected,49,2015,0,0,0
Costa Rica,Confirmed,49,2015,0,0,0
Costa Rica,Suspected,50,2015,0,0,0
Costa Rica,Confirmed,50,2015,0,0,0
Costa Rica,Suspected,51,2015,0,0,0
Costa Rica,Confirmed,51,2015,0,0,0
Costa Rica,Suspected,52,2015,0,0,0
Costa Rica,Confirmed,52,2015,0,0,0
Curacao,Suspected,48,2015,0,0,0
Curacao,Confirmed,48,2015,0,0,0
Curacao,Suspected,49,2015,0,0,0
Curacao,Confirmed,49,2015,0,0,0
Curacao,Suspected,50,2015,0,0,0
Curacao,Confirmed,50,2015,0,0,0
Curacao,Suspected,51,2015,0,0,0
Curacao,Confirmed,51,2015,0,0,0
Curacao,Suspected,52,2015,0,0,0
Curacao,Confirmed,52,2015,0,0,0
Dominican Republic,Suspected,48,2015,0,0,0
Dominican Republic,Confirmed,48,2015,0,0,0
Dominican Republic,Suspected,49,2015,0,0,0
Dominican Republic,Confirmed,49,2015,0,0,0
Dominican Republic,Suspected,50,2015,0,0,0
Dominican Republic,Confirmed,50,2015,0,0,0
Dominican Republic,Suspected,51,2015,0,0,0
Dominican Republic,Confirmed,51,2015,0,0,0
Dominican Republic,Suspected,52,2015,0,0,0
Dominican Republic,Confirmed,52,2015,0,0,0
Ecuador,Suspected,48,2015,0,0,0
Ecuador,Confirmed,48,2015,0,0,0
Ecuador,Suspected,49,2015,0,0,0
Ecuador,Confirmed,49,2015,0,0,0
Ecuador,Suspected,50,2015,0,0,0
Ecuador,Confirmed,50,2015,0,0,0
Ecuador,Suspected,51,2015,0,0,0
Ecuador,Confirmed,51,2015,0,0,0
Ecuador,Suspected,52,2015,0,0,0
Ecuador,Confirmed,52,2015,0,0,0
El Salvador,Suspected,48,2015,846,0,846
El Salvador,Confirmed,48,2015,0,0,846
El Salvador,Suspected,49,2015,914,0,914
El Salvador,Confirmed,49,2015,0,0,914
El Salvador,Suspected,50,2015,753,0,753
El Salvador,Confirmed,50,2015,0,0,753
El Salvador,Suspected,51,2015,464,0,464
El Salvador,Confirmed,51,2015,0,0,464
El Salvador,Suspected,52,2015,316,0,316
El Salvador,Confirmed,52,2015,0,0,316
French Guiana,Suspected,48,2015,0,0,0
French Guiana,Confirmed,48,2015,0,0,0
French Guiana,Suspected,49,2015,0,0,0
French Guiana,Confirmed,49,2015,0,0,0
French Guiana,Suspected,50,2015,0,0,0
French Guiana,Confirmed,50,2015,0,0,0
French Guiana,Suspected,51,2015,0,0,0
French Guiana,Confirmed,51,2015,0,0,0
French Guiana,Suspected,52,2015,0,0,0
French Guiana,Confirmed,52,2015,0,0,0
Guadeloupe,Suspected,48,2015,0,0,0
Guadeloupe,Confirmed,48,2015,0,0,0
Guadeloupe,Suspected,49,2015,0,0,0
Guadeloupe,Confirmed,49,2015,0,0,0
Guadeloupe,Suspected,50,2015,0,0,0
Guadeloupe,Confirmed,50,2015,0,0,0
Guadeloupe,Suspected,51,2015,0,0,0
Guadeloupe,Confirmed,51,2015,0,0,0
Guadeloupe,Suspected,52,2015,0,0,0
Guadeloupe,Confirmed,52,2015,0,0,0
Guatemala,Suspected,48,2015,0,0,0
Guatemala,Confirmed,48,2015,0,0,0
Guatemala,Suspected,49,2015,0,0,0
Guatemala,Confirmed,49,2015,0,0,0
Guatemala,Suspected,50,2015,0,0,0
Guatemala,Confirmed,50,2015,0,0,0
Guatemala,Suspected,51,2015,0,0,0
Guatemala,Confirmed,51,2015,0,0,0
Guatemala,Suspected,52,2015,200,67,200
Guatemala,Confirmed,52,2015,67,67,200
Guyana,Suspected,48,2015,0,0,0
Guyana,Confirmed,48,2015,0,0,0
Guyana,Suspected,49,2015,0,0,0
Guyana,Confirmed,49,2015,0,0,0
Guyana,Suspected,50,2015,0,0,0
Guyana,Confirmed,50,2015,0,0,0
Guyana,Suspected,51,2015,0,0,0
Guyana,Confirmed,51,2015,0,0,0
Guyana,Suspected,52,2015,0,0,0
Guyana,Confirmed,52,2015,0,0,0
Haiti,Suspected,48,2015,0,0,0
Haiti,Confirmed,48,2015,0,0,0
Haiti,Suspected,49,2015,5,0,5
Haiti,Confirmed,49,2015,0,0,5
Haiti,Suspected,50,2015,0,0,0
Haiti,Confirmed,50,2015,0,0,0
Haiti,Suspected,51,2015,2,0,2
Haiti,Confirmed,51,2015,0,0,2
Haiti,Suspected,52,2015,2,0,2
Haiti,Confirmed,52,2015,0,0,2
Honduras,Suspected,48,2015,0,0,0
Honduras,Confirmed,48,2015,0,0,0
Honduras,Suspected,49,2015,0,0,0
Honduras,Confirmed,49,2015,0,0,0
Honduras,Suspected,50,2015,0,2,0
Honduras,Confirmed,50,2015,2,2,0
Honduras,Suspected,51,2015,55,0,55
Honduras,Confirmed,51,2015,0,0,55
Honduras,Suspected,52,2015,62,0,62
Honduras,Confirmed,52,2015,0,0,62
Jamaica,Suspected,48,2015,0,0,0
Jamaica,Confirmed,48,2015,0,0,0
Jamaica,Suspected,49,2015,0,0,0
Jamaica,Confirmed,49,2015,0,0,0
Jamaica,Suspected,50,2015,0,0,0
Jamaica,Confirmed,50,2015,0,0,0
Jamaica,Suspected,51,2015,0,0,0
Jamaica,Confirmed,51,2015,0,0,0
Jamaica,Suspected,52,2015,0,0,0
Jamaica,Confirmed,52,2015,0,0,0
Martinique,Suspected,48,2015,0,0,0
Martinique,Confirmed,48,2015,0,0,0
Martinique,Suspected,49,2015,0,0,0
Martinique,Confirmed,49,2015,0,0,0
Martinique,Suspected,50,2015,0,0,0
Martinique,Confirmed,50,2015,0,0,0
Martinique,Suspected,51,2015,0,0,0
Martinique,Confirmed,51,2015,0,0,0
Martinique,Suspected,52,2015,0,0,0
Martinique,Confirmed,52,2015,0,0,0
Mexico,Suspected,48,2015,0,0,0
Mexico,Confirmed,48,2015,0,0,0
Mexico,Suspected,49,2015,0,0,0
Mexico,Confirmed,49,2015,0,0,0
Mexico,Suspected,50,2015,0,0,0
Mexico,Confirmed,50,2015,0,0,0
Mexico,Suspected,51,2015,0,0,0
Mexico,Confirmed,51,2015,0,0,0
Mexico,Suspected,52,2015,0,13,0
Mexico,Confirmed,52,2015,13,13,0
Nicaragua,Suspected,48,2015,0,0,0
Nicaragua,Confirmed,48,2015,0,0,0
Nicaragua,Suspected,49,2015,0,0,0
Nicaragua,Confirmed,49,2015,0,0,0
Nicaragua,Suspected,50,2015,0,0,0
Nicaragua,Confirmed,50,2015,0,0,0
Nicaragua,Suspected,51,2015,0,0,0
Nicaragua,Confirmed,51,2015,0,0,0
Nicaragua,Suspected,52,2015,0,0,0
Nicaragua,Confirmed,52,2015,0,0,0
Panama,Suspected,48,2015,0,0,0
Panama,Confirmed,48,2015,0,0,0
Panama,Suspected,49,2015,0,5,0
Panama,Confirmed,49,2015,5,5,0
Panama,Suspected,50,2015,0,20,0
Panama,Confirmed,50,2015,20,20,0
Panama,Suspected,51,2015,0,7,0
Panama,Confirmed,51,2015,7,7,0
Panama,Suspected,52,2015,0,2,0
Panama,Confirmed,52,2015,2,2,0
Paraguay,Suspected,48,2015,0,0,0
Paraguay,Confirmed,48,2015,0,0,0
Paraguay,Suspected,49,2015,0,0,0
Paraguay,Confirmed,49,2015,0,0,0
Paraguay,Suspected,50,2015,0,0,0
Paraguay,Confirmed,50,2015,0,0,0
Paraguay,Suspected,51,2015,0,0,0
Paraguay,Confirmed,51,2015,0,0,0
Paraguay,Suspected,52,2015,0,0,0
Paraguay,Confirmed,52,2015,0,0,0
Puerto Rico,Suspected,48,2015,0,0,0
Puerto Rico,Confirmed,48,2015,0,0,0
Puerto Rico,Suspected,49,2015,0,0,0
Puerto Rico,Confirmed,49,2015,0,0,0
Puerto Rico,Suspected,50,2015,0,0,0
Puerto Rico,Confirmed,50,2015,0,0,0
Puerto Rico,Suspected,51,2015,0,0,0
Puerto Rico,Confirmed,51,2015,0,0,0
Puerto Rico,Suspected,52,2015,0,9,0
Puerto Rico,Confirmed,52,2015,9,9,0
Saint Martin,Suspected,48,2015,0,0,0
Saint Martin,Confirmed,48,2015,0,0,0
Saint Martin,Suspected,49,2015,0,0,0
Saint Martin,Confirmed,49,2015,0,0,0
Saint Martin,Suspected,50,2015,0,0,0
Saint Martin,Confirmed,50,2015,0,0,0
Saint Martin,Suspected,51,2015,0,0,0
Saint Martin,Confirmed,51,2015,0,0,0
Saint Martin,Suspected,52,2015,0,0,0
Saint Martin,Confirmed,52,2015,0,0,0
Saint Vincent and the Grenadines,Suspected,48,2015,0,0,0
Saint Vincent and the Grenadines,Confirmed,48,2015,0,0,0
Saint Vincent and the Grenadines,Suspected,49,2015,0,0,0
Saint Vincent and the Grenadines,Confirmed,49,2015,0,0,0
Saint Vincent and the Grenadines,Suspected,50,2015,0,0,0
Saint Vincent and the Grenadines,Confirmed,50,2015,0,0,0
Saint Vincent and the Grenadines,Suspected,51,2015,0,0,0
Saint Vincent and the Grenadines,Confirmed,51,2015,0,0,0
Saint Vincent and the Grenadines,Suspected,52,2015,0,0,0
Saint Vincent and the Grenadines,Confirmed,52,2015,0,0,0
Sint Maarten,Suspected,48,2015,0,0,0
Sint Maarten,Confirmed,48,2015,0,0,0
Sint Maarten,Suspected,49,2015,0,0,0
Sint Maarten,Confirmed,49,2015,0,0,0
Sint Maarten,Suspected,50,2015,0,0,0
Sint Maarten,Confirmed,50,2015,0,0,0
Sint Maarten,Suspected,51,2015,0,0,0
Sint Maarten,Confirmed,51,2015,0,0,0
Sint Maarten,Suspected,52,2015,0,0,0
Sint Maarten,Confirmed,52,2015,0,0,0
Suriname,Suspected,48,2015,61,0,61
Suriname,Confirmed,48,2015,0,0,61
Suriname,Suspected,49,2015,60,0,60
Suriname,Confirmed,49,2015,0,0,60
Suriname,Suspected,50,2015,59,0,59
Suriname,Confirmed,50,2015,0,0,59
Suriname,Suspected,51,2015,37,0,37
Suriname,Confirmed,51,2015,0,0,37
Suriname,Suspected,52,2015,28,0,28
Suriname,Confirmed,52,2015,0,0,28
Trinidad and Tobago,Suspected,48,2015,0,0,0
Trinidad and Tobago,Confirmed,48,2015,0,0,0
Trinidad and Tobago,Suspected,49,2015,0,0,0
Trinidad and Tobago,Confirmed,49,2015,0,0,0
Trinidad and Tobago,Suspected,50,2015,0,0,0
Trinidad and Tobago,Confirmed,50,2015,0,0,0
Trinidad and Tobago,Suspected,51,2015,0,0,0
Trinidad and Tobago,Confirmed,51,2015,0,0,0
Trinidad and Tobago,Suspected,52,2015,0,0,0
Trinidad and Tobago,Confirmed,52,2015,0,0,0
United States Virgin Islands,Suspected,48,2015,0,0,0
United States Virgin Islands,Confirmed,48,2015,0,0,0
United States Virgin Islands,Suspected,49,2015,0,0,0
United States Virgin Islands,Confirmed,49,2015,0,0,0
United States Virgin Islands,Suspected,50,2015,0,0,0
United States Virgin Islands,Confirmed,50,2015,0,0,0
United States Virgin Islands,Suspected,51,2015,0,0,0
United States Virgin Islands,Confirmed,51,2015,0,0,0
United States Virgin Islands,Suspected,52,2015,0,0,0
United States Virgin Islands,Confirmed,52,2015,0,0,0
Venezuela,Suspected,48,2015,0,0,0
Venezuela,Confirmed,48,2015,0,0,0
Venezuela,Suspected,49,2015,0,0,0
Venezuela,Confirmed,49,2015,0,0,0
Venezuela,Suspected,50,2015,0,0,0
Venezuela,Confirmed,50,2015,0,0,0
Venezuela,Suspected,51,2015,0,0,0
Venezuela,Confirmed,51,2015,0,0,0
Venezuela,Suspected,52,2015,0,0,0
Venezuela,Confirmed,52,2015,0,0,0
